Date Name,Notes,Details,Address,Link to their website,Link to Picture,Category,"Price (0, $, $$, or $$$)",Tags
,,,,,,"Active, Food & Drink, Creative, Games, Learning & Culture, Nature","$ - 5-10 dollars per person, $$ - 10-20 dollars per person, $$$ - above 20 dollars per person ","Where? indoor, outdoor Energy Level? high energy, lazy How long? long, short "
BYU-Idaho Planetarium,"Tickets go on sale at 6:30 pm at the door on a first-come, first-serve basis. The Planetarium comfortably seats 40 adults. Most shows last about 30 minutes. ","$2 per person. Public shows are not available on holidays, finals week, school breaks, and all of August.","10 E 2nd South, ROM 107, Rexburg, Idaho 83460",https://www.byui.edu/planetarium/,https://static.where-e.com/United_States/Idaho/Canyon_County/Whittenberger-Planetarium_13b7a7826187d0f8ba1e2e6b6c0915dc.jpg,Learning & Culture,$ ,"indoor, low energy, long"
Kiwi Loco,"Self-serve frozen yogurt shop with tons of toppings, perfect for a casual and customizable dessert date.",Frozen yogurt is served by the ounce at only $0.59 cents an ounce.,"160 W 2nd S Ste 106 Rexburg, Idaho 83440-4713",https://www.kiwilocoyogurt.com/,https://explorerexburg.com/wp-content/uploads/sites/11/2017/04/img_9529.jpg,Food & Drink,$,"indoor, low energy, short"
Crispy Cones,"A dessert spot serving warm, cone-shaped pastries filled with ice cream and sweet toppings.",n/a,"163 W Main St Suite 102, Rexburg, ID 83440",https://crispycones.com/rexburg-id,https://dallas.culturemap.com/media-library/crispy-cones.jpg?id=56611335&width=2000&height=1500&coordinates=0%2C23%2C0%2C23,Food & Drink,$,"indoor, low energy, short"
Rinky Dink's,A nostalgic spot with classic treats and a laid-back vibe.,n/a,"121 E Main St, Rexburg, ID, United States, Idaho",https://www.facebook.com/p/Rinky-Dinks-61577264415520/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbNLQ2iQ_s6dpDAk0OUthuEUZbV7k3F_ypAQ&s,Food & Drink,$,"indoor, low energy, short"
Millhollow,Locally loved for its creamy ice cream and cozy feel—an easy go-to when you just want to sit and talk.,n/a,"48 S 1st E Rexburg, ID 83440",https://www.millhollowrestaurant.com,https://www.rexburgonline.com/wp-content/uploads/2016/06/20160713_082744-1-scaled.jpg,Food & Drink,$,"indoor, low energy, short"
Creamy Daze,"Bright colors, sweet smells, and plenty of options—perfect if you’re in the mood for something cheerful and indulgent.",n/a,"175 W 2nd S Rexburg, Idaho 83440",https://creamydaze.com/,https://s3.us-west-2.amazonaws.com/assets.eastidahonews.com/wp-content/uploads/2025/08/CREAMY-DAZE.jpg,Food & Drink,$,"indoor, low energy, short"
Sugarbeast,"Not your average dessert stop—expect massive shakes, stacked cookies, and sugar overload in the best way.",n/a,"110 W 4th S Rexburg, Idaho 83440-2405",https://www.sugarbeast.com/,https://funcakes.com/content/uploads/2023/06/Ice-cream-recipe-960x960-c-default.jpg,Food & Drink,$,"indoor, low energy, short"
Chocolate Plunge,"Everything here revolves around chocolate, from dipped treats to rich desserts made to share.",n/a,"155 W Main St #3 Rexburg, ID 83440",https://www.chocolateplunge.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuRBiRIh-eIuEY1OtzeD2t2xlY2CrhRJ9iZQ&s,Food & Drink,$,"indoor, low energy, short"
G's Dairy Delights,A classic drive-in feel with big portions and old-school charm—great for a relaxed summer night.,n/a,"600 Handcart Lane, Rexburg, ID 83440",https://www.facebook.com/profile.php?id=61557621568103&mibextid=LQQJ4d,https://fnb.com-photos.com/105856/gs-dairy-delights-AF1QipPz5ieMbc8qPDMhQoyJ92WPyXhx_tpUrKfyb4dW.jpg,Food & Drink,$,"indoor, low energy, short"
Twisted Sugar,Gourmet cookies and flavored sodas that you can mix and match—it’s a surprisingly fun combo.,n/a,"286 E Moody Rd Suite G, Rexburg, Idaho, 83440, United States",https://twistedsugar.com/,"https://www.earthdiver.com/cdn-cgi/image/width=4000,quality=75,format=auto/https://assets.earthdiver.com/media/media-image-2741935.jpg?w=1620&h=1080&tick=1656456448269",Food & Drink,$,"indoor, low energy, short"
Cold Stone Creamery,"Watch your ice cream get mixed right in front of you on a frozen slab—simple, interactive, and always good.",n/a,"485 N 2nd E, Ste 102 Rexburg ID 83440",https://www.coldstonecreamery.com/stores/20839,https://coldstonecreamery.co.uk/wp-content/uploads/2023/11/signature.jpg,Food & Drink,$,"indoor, low energy, short"
Iceberg Drive-Inn,Known for shakes that are almost too big to finish and comfort food that hits the spot every time.,n/a,"286 East Moody STE A Rexburg, ID 83440",https://icebergdriveinn.com/,https://icebergdriveinn.com/cdn/shop/files/asd_767x.png?v=1624370043,Food & Drink,$,"indoor, low energy, short"
Teton Ice Cream Parlor,"A charming, old-fashioned ice cream stop that’s perfect for slowing down and enjoying the moment.",n/a,"135 N Clark Street, Rigby, ID, United States, Idaho",https://www.facebook.com/TetonIceCreamParlor/,https://admin.onlyinyourstate.com/wp-content/uploads/sites/2/2022/04/Screen-Shot-2022-04-25-at-2.49.37-PM.png,Food & Drink,$,"indoor, low energy, short"
Fixxology Drinks,"Custom sodas, energy drinks, and creative mixes—great if you want something a little different than dessert.",n/a,"50 S 2nd W, Rexburg, ID 83440",https://fixxologydrinks.com/pages/rexburg-idaho?srsltid=AfmBOooNf8VQxUeI4t-IhP_8AD3P0QA7I7ubYfwpFN8jN9YALJmqj-ts,https://fixxologydrinks.com/cdn/shop/files/2_09b99d9b-a091-4e04-98d1-91c25d4337f9.png?v=1761012535,Food & Drink,$,"indoor, low energy, short"
Boba Luv,A go-to for bubble tea with lots of flavors and textures to try—fun if you want something interactive.,n/a,"220 E 2nd N Ste 4 Rexburg, ID 83440",https://www.bobaluv.com/,https://lirp.cdn-website.com/f6863b6f/dms3rep/multi/opt/bl-social-1920w.png,Food & Drink,$,"indoor, low energy, short"
Florence's Exquisite Chocolates,Handcrafted chocolates with a more elegant feel—perfect if you’re going for something a little romantic.,n/a,"180 W 2nd S Rexburg, ID 83440",https://www.florences.com/?srsltid=AfmBOor9SZ9F5aNOoqZeumeDCvh_Wsw3IpdipStqssj-NHrEaOK1Fxxk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfYcGdIWGRSr4tF8GDz2W88CwRP83hoOBnfQ&s,Food & Drink,$,"indoor, low energy, short"
Runnin 4 Sweets,A playful dessert stop that doesn’t take itself too seriously—expect creative treats and lots of sugar.,n/a,"58 E Main St, Rexburg, ID, United States, Idaho",https://www.facebook.com/Runnin4Sweets/,https://static.where-e.com/United_States/Idaho/Runnin-4-Sweets_623181d86587fe4fdc5452d2118f7114.jpg,Food & Drink,$,"indoor, low energy, short"
Jacob Spori Art Gallery,"Come explore world-class masterpieces from professional artists, BYU-Idaho students, and faculty.",Hours and dates vary by exhibit. See website for more details.,"48 E 2nd S SPO 140A, Rexburg, ID 83460",https://www.byui.edu/spori-gallery/,https://brightspotcdn.byui.edu/dims4/default/9d889fb/2147483647/strip/true/crop/5000x2599+0+369/resize/302x157!/quality/90/?url=http%3A%2F%2Fbyu-idaho-brightspot-production-us-east-2.s3.us-east-2.amazonaws.com%2Ff1%2Fb2%2F895f16324af3869843e7722d664b%2F190319-spori-gallery-darren-clark-06.jpg,Learning & Culture,0,"indoor, low energy, short"
Grand Teton Gun and Range,Grand Teton Gun & Range is a full service gun shop together with a 25-yard and 50-yard range. The 25-yard is a full tactical range with programmable target retrievers.  You can shoot at a stationary target or use one of the programs to hone your skills.,,"870 N 2nd E, Rexburg, ID 83440",https://grandtetongun.com/,https://grandtetongun.com/wp-content/uploads/2025/06/IMG_5697-903x1024.jpeg,Active,$$$,"indoor, high energy, long"
Idaho Shooting Range,Straightforward and low-key—good if you’re looking for a unique activity outside the usual dinner date.,Day pass is $5. ,"9029 ID-33 Rexburg, ID 83440",https://idahoshootingrange.com/,https://idfg.idaho.gov/sites/default/files/styles/article_16_9/public/field/image/blacks_3012.jpg?itok=Q1c26LYa,Active,$,"outdoor, high energy, long"
BYU-Idaho Roller Skating,"Music, lights, and just enough chaos to keep things fun—perfect for laughing at each other a little.","$3.00 for student tickets, $4.00 for community tickets. Open Mondays, every other Thursdays, and Saturdays.","101 E Viking St, Rexburg, ID 83460",https://www.byui.edu/skateway-roller-skating/,https://brightspotcdn.byui.edu/dims4/default/b1ca8cc/2147483647/strip/true/crop/4509x3189+148+0/resize/820x580!/quality/90/?url=http%3A%2F%2Fbyu-idaho-brightspot-production-us-east-2.s3.us-east-2.amazonaws.com%2F58%2Fd4%2F716d6913492e961510de72c6cc33%2F220104-inight-227.jpg,Active,$,"indoor, high energy, long"
Ka-Ko Jo's,"Arcade games, laser tag, and plenty to do if you want something energetic and playful.",n/a,"2300 E 17th St, Idaho Falls, ID 83404",https://kakojos.com/idahofalls/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/3e/f9/7b/bowling.jpg?w=900&h=500&s=1,Games,$$,"indoor, low energy, long"
Rexburg Re-Escape,Work together to solve puzzles and beat the clock—great for seeing how well you actually communicate.,"$14 per person in groups of 4-8 people, $16 per person in groups of 2-3 people. Open to walk-ins!","155 W Main St #7, Rexburg, ID 83440",https://www.rexburgre-escape.com/,https://cdn.escaperoom.com/uploads/styles/directoryCards/The-Betrayal-Room-escape-room-Rexburg-Re-Escape-yAjLx2COY-sm.jpg,Games,$$,"indoor, low energy, long"
Gnarly Escapes,Immersive escape rooms with fun themes and just enough challenge to keep things interesting.,All bookings must be made at least 1 hour in advance. Price is $23 per person.,"1495 Foote Dr, Idaho Falls, ID 83402",https://www.gnarlyescapes.com/index.html,https://cdn.escaperoom.com/uploads/styles/directoryCards/The-Green-Belt-Bank-Heist-escape-room-Gnarly-Escapes-HzkuzM7Fc-sm.jpg,Games,$$$,"indoor, low energy, long"
Cards of Ruin,A hangout for trading cards and tabletop games—easygoing and perfect if you both enjoy game hobbies.,n/a,"31 College Ave., Rexburg, ID 83440",https://www.cardsofruin.com/,https://byuiscroll.org/wp-content/uploads/2025/09/IMG_9219-scaled-1.jpeg,Games,$,"indoor, low energy, short"
Collectors' Corner Museum ,Packed with unique collections and odd finds—it’s the kind of place where you’ll keep pointing things out.,n/a,"900 John Adams Pkwy, Idaho Falls, ID 83401",https://www.facebook.com/collectors50/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/be/da/f4/collector-corner-museum.jpg?w=1200&h=-1&s=1,Learning & Culture,$,"indoor, low energy, short"
Madison County Fairgrounds,"Depending on the season, you’ll find fairs, events, and local gatherings with a lively atmosphere.","County Fair dates are August 12-15, 2026. Whoopee days rodeo dates are June 25, 26 & 27, 2026.","460 N 2nd W Rexburg, ID 83440",https://www.myfairgrounds.com/,https://images.squarespace-cdn.com/content/v1/642f9cf9684c981d1a2c2c09/58b8190c-65e6-43ec-aacf-ff0940c814d4/DSC_0562.jpg,Learning & Culture,$,"outdoor, low energy, long"
ijump Trampoline Park,"High-energy fun with trampolines, foam pits, and plenty of chances to act like a kid again.","The first hour is $12.50, each Additional Hour is $8.00. Half hour jump times may be purchased at $6 per person, but only if purchasing an hour of jump time. Daily Deals can be found on the website.","2670 14th N, Idaho Falls, ID 83401",https://www.ijumpidaho.com/,https://www.ijumpidaho.com/uploads/dodgeballarea.jpg,Active,$$,"indoor, high energy, long"
The Miniature Manager Hobbies & Games,A hobbies and games store with a passion to bring tabletop games to the larger community of Rexburg and surrounding areas.,"There are daily games and events, providing a fun and inclusive environment for gamers of all levels.","76 E 1st N, Rexburg, ID 83440",https://theminiaturemanager.github.io/miniature-website,https://christandpopculture.com/wp-content/uploads/2018/03/maxresdefault1-e1521194328553.jpg,Games,$,"indoor, low energy, short"
Legacy Flight Museum,"Vintage aircraft and aviation history in a surprisingly engaging, hands-on setting.",Tickets are $8.00 per person.,"400 Airport Rd Rexburg, ID 83440",https://www.rexburg.org/o/legacyflight,https://core-docs.s3.amazonaws.com/city_of_rexburg_ar/live_feed_image/image/11665724/large_aSbLRzrgiFGEmKjCF7g_5A.png,Learning & Culture,$,"indoor, low energy, short"
BYU-Idaho Indoor Giant Swing,The Giant Swing is a thrilling activity. Riders wear a full body harness and are seated securely on the swing. Experience the exhilarating sensation of weightlessness as you soar through the air in the I-Center.,$5 per person. Available Monday evenings.,"50 W Viking Dr, Rexburg, ID 83460",https://www.byui.edu/ropes-course/pricing#indoor-giant-swing,https://brightspotcdn.byui.edu/dims4/default/cf8582c/2147483647/strip/true/crop/7000x4667+0+0/resize/768x512!/quality/90/?url=https%3A%2F%2Fbyu-idaho-brightspot-production-us-east-2.s3.us-east-2.amazonaws.com%2Fe6%2Fad%2Fd47183f34b24b709f6bf1a11f7ce%2F250428-bctrswing-hk-136.jpg,Active,$,"indoor, high energy, short"
BYU-Idaho Crate Stacking,"Crate stacking is an activity where participants use crates to build a tower while on belay. The goal is to stack the crates as high as possible without the structure collapsing. Participants place and stack the crates, one at a time, requiring balance and coordination.",$3 per person if you have a BYU-Idaho I-Number.,"50 W Viking Dr, Rexburg, ID 83460",https://www.byui.edu/ropes-course/pricing#crate-stacking,https://brightspotcdn.byui.edu/dims4/default/c2ed116/2147483647/strip/true/crop/5716x3816+0+0/resize/768x513!/quality/90/?url=http%3A%2F%2Fbyu-idaho-brightspot-production-us-east-2.s3.us-east-2.amazonaws.com%2F8d%2F9d%2Fb6cf98774e48b1bbe4c031fe860f%2F220416-getconnected-110.jpg,Active,$,"indoor, high energy, long"
BYU-Idaho Ropes Course,"Climb, balance, and encourage each other through obstacles up in the air.","$5 for student tickets, $10 for community tickets.","50 W 7th S, Rexburg, ID 83460",https://www.byui.edu/ropes-course/,https://brightspotcdn.byui.edu/dims4/default/a89b43a/2147483647/strip/true/crop/900x500+0+0/resize/800x444!/quality/90/?url=http%3A%2F%2Fbyu-idaho-brightspot-production-us-east-2.s3.us-east-2.amazonaws.com%2F28%2F92%2F0a1e5838430c8fa6919c4aa2b9c6%2Fclimbing-ropes.jpg,Active,$,"outdoor, high energy, long"
